year,area,num
201512,서울특별시 종로구,1
201512,서울특별시 종로구,8
201512,서울특별시 종로구,12
201512,서울특별시 종로구,8
201512,서울특별시 종로구,3
201512,서울특별시 종로구,2
201512,서울특별시 종로구,10
201512,서울특별시 종로구,48
201512,서울특별시 종로구,44
201512,서울특별시 종로구,97
201512,서울특별시 종로구,1
201512,서울특별시 종로구,2
201512,서울특별시 종로구,14
201512,서울특별시 성동구,30
201512,서울특별시 성동구,4
201512,서울특별시 성동구,847
201512,서울특별시 성동구,1103
201512,서울특별시 성동구,3
201512,서울특별시 성동구,40
201512,서울특별시 성동구,3
201512,서울특별시 성동구,36
201512,서울특별시 성동구,53
201512,서울특별시 성동구,30
201512,서울특별시 성동구,3
201512,서울특별시 성동구,37
201512,서울특별시 성동구,3
201512,서울특별시 성동구,11
201512,서울특별시 성동구,58
201512,서울특별시 성동구,1
201512,서울특별시 성동구,1
201512,서울특별시 종로구,2
201512,서울특별시 종로구,45
201512,서울특별시 종로구,18
201512,서울특별시 종로구,241
201512,서울특별시 종로구,4
201512,서울특별시 종로구,2
201512,서울특별시 종로구,7
201512,서울특별시 종로구,78
201512,서울특별시 종로구,1
201512,서울특별시 종로구,134
201512,서울특별시 종로구,1
201512,서울특별시 종로구,1
201512,서울특별시 종로구,1
201512,서울특별시 종로구,391
201512,서울특별시 종로구,463
201512,서울특별시 종로구,15
201512,서울특별시 종로구,2
201512,서울특별시 성동구,13
201512,서울특별시 성동구,41
201512,서울특별시 성동구,2
201512,서울특별시 성동구,33
201512,서울특별시 성동구,1
201512,서울특별시 성동구,2
201512,서울특별시 성동구,1231
201512,서울특별시 성동구,2
201512,서울특별시 성동구,1618
201512,서울특별시 성동구,4
201512,서울특별시 성동구,517
201512,서울특별시 성동구,3
201512,서울특별시 성동구,1
201512,서울특별시 성동구,1
201512,서울특별시 성동구,1
201512,서울특별시 성동구,75
201512,서울특별시 성동구,22
201512,서울특별시 종로구,125
201512,서울특별시 중구,1
201512,서울특별시 중구,2
201512,서울특별시 중구,2
201512,서울특별시 중구,8
201512,서울특별시 중구,1
201512,서울특별시 중구,1
201512,서울특별시 중구,5
201512,서울특별시 중구,13
201512,서울특별시 중구,1
201512,서울특별시 중구,1
201512,서울특별시 중구,3
201512,서울특별시 중구,68
201512,서울특별시 중구,5
201512,서울특별시 중구,48
201512,서울특별시 중구,26
201512,서울특별시 중구,101
201512,서울특별시 중구,84
201512,서울특별시 중구,12
201512,서울특별시 중구,1
201512,서울특별시 성동구,1
201512,서울특별시 성동구,105
201512,서울특별시 성동구,1
201512,서울특별시 성동구,32
201512,서울특별시 성동구,2
201512,서울특별시 성동구,65
201512,서울특별시 성동구,2
201512,서울특별시 성동구,7
201512,서울특별시 성동구,4
201512,서울특별시 성동구,1
201512,서울특별시 성동구,779
201512,서울특별시 성동구,30
201512,서울특별시 성동구,10
201512,서울특별시 성동구,2379
201512,서울특별시 성동구,58
201512,서울특별시 성동구,6
201512,서울특별시 성동구,2
201512,서울특별시 중구,44
201512,서울특별시 중구,640
201512,서울특별시 중구,2
201512,서울특별시 중구,46
201512,서울특별시 중구,2
201512,서울특별시 중구,5
201512,서울특별시 중구,2
201512,서울특별시 중구,29
201512,서울특별시 중구,9
201512,서울특별시 중구,3
201512,서울특별시 중구,8
201512,서울특별시 중구,2
201512,서울특별시 중구,75
201512,서울특별시 중구,3
201512,서울특별시 중구,1
201512,서울특별시 중구,7
201512,서울특별시 중구,6
201512,서울특별시 중구,5
201512,서울특별시 성동구,15
201512,서울특별시 광진구,1
201512,서울특별시 광진구,18
201512,서울특별시 광진구,1
201512,서울특별시 광진구,1
201512,서울특별시 광진구,21
201512,서울특별시 광진구,3
201512,서울특별시 광진구,2
201512,서울특별시 광진구,1031
201512,서울특별시 광진구,55
201512,서울특별시 광진구,62
201512,서울특별시 광진구,225
201512,서울특별시 광진구,289
201512,서울특별시 광진구,4
201512,서울특별시 광진구,55
201512,서울특별시 광진구,1
201512,서울특별시 광진구,407
201512,서울특별시 광진구,1122
201512,서울특별시 중구,81
201512,서울특별시 중구,29
201512,서울특별시 중구,9
201512,서울특별시 중구,1
201512,서울특별시 중구,8
201512,서울특별시 중구,1
201512,서울특별시 중구,1
201512,서울특별시 중구,7
201512,서울특별시 중구,6
201512,서울특별시 중구,3
201512,서울특별시 중구,1
201512,서울특별시 중구,3
201512,서울특별시 중구,1
201512,서울특별시 중구,1
201512,서울특별시 중구,113
201512,서울특별시 중구,1
201512,서울특별시 중구,534
201512,서울특별시 중구,221
201512,서울특별시 중구,29
201512,서울특별시 광진구,1
201512,서울특별시 광진구,122
201512,서울특별시 광진구,16
201512,서울특별시 광진구,18
201512,서울특별시 광진구,686
201512,서울특별시 광진구,299
201512,서울특별시 광진구,3
201512,서울특별시 광진구,59
201512,서울특별시 광진구,19
201512,서울특별시 광진구,4
201512,서울특별시 광진구,50
201512,서울특별시 광진구,3
201512,서울특별시 광진구,117
201512,서울특별시 광진구,926
201512,서울특별시 광진구,1
201512,서울특별시 광진구,1
201512,서울특별시 광진구,1
201512,서울특별시 중구,28
201512,서울특별시 중구,1
201512,서울특별시 중구,38
201512,서울특별시 중구,1
201512,서울특별시 중구,25
201512,서울특별시 중구,2
201512,서울특별시 중구,1
201512,서울특별시 중구,1
201512,서울특별시 중구,3
201512,서울특별시 중구,366
201512,서울특별시 중구,33
201512,서울특별시 중구,574
201512,서울특별시 중구,12
201512,서울특별시 용산구,3
201512,서울특별시 용산구,2
201512,서울특별시 용산구,8
201512,서울특별시 용산구,1
201512,서울특별시 용산구,5
201512,서울특별시 용산구,3
201512,서울특별시 광진구,1
201512,서울특별시 광진구,3
201512,서울특별시 광진구,425
201512,서울특별시 광진구,1
201512,서울특별시 광진구,3
201512,서울특별시 광진구,2
201512,서울특별시 광진구,4
201512,서울특별시 광진구,1
201512,서울특별시 광진구,2
201512,서울특별시 광진구,1
201512,서울특별시 광진구,397
201512,서울특별시 광진구,550
201512,서울특별시 광진구,21
201512,서울특별시 광진구,1124
201512,서울특별시 광진구,30
201512,서울특별시 광진구,76
201512,서울특별시 광진구,561
201512,서울특별시 용산구,1
201512,서울특별시 용산구,1
201512,서울특별시 용산구,1
201512,서울특별시 용산구,512
201512,서울특별시 용산구,121
201512,서울특별시 용산구,1
201512,서울특별시 용산구,1308
201512,서울특별시 용산구,1
201512,서울특별시 용산구,4
201512,서울특별시 용산구,46
201512,서울특별시 용산구,1
201512,서울특별시 용산구,1207
201512,서울특별시 용산구,116
201512,서울특별시 용산구,412
201512,서울특별시 용산구,1
